Gender,Age Group,Educational Degree Level,Major,Most Active Platform,Account Type,Type of Content,Number of Posts Created,Avg Time Spent on Platform (min/day),Number of Likes Given,Number of Likes Received,Number of Comments Made,Number of Comments Received,Number of Shares,Number of Followers,Number of Accounts Followed,Engagement Rate (%),Income in USD,Number of Views,Amount Invested in Advertising (USD)
Male,51+,MD,Social Sciences,LinkedIn,Influencer,Art-Drawing,110,117.87560070148442,200,289,47,62,31,1845.510235161604,117.65805724441697,5.813859996603476,32084.887602808984,4828,3279.421779596847
Other,34-38,High School,Engineering,TikTok,Other,Handmade Craft,98,101.57346474171078,183,257,53,52,21,1462.285581944204,421.08581094640385,35.89250478821191,18697.700638501396,5097,2814.546023932042
Female,51+,None,Social Sciences,LinkedIn,Business,Singing,91,148.1794031654541,211,273,54,70,25,1280.7541560412794,333.6101602510868,14.809849980120514,41802.17248461999,4983,2061.3040136148197
Male,46-51,Bachelor,Business,LinkedIn,Influencer,Handmade Craft,94,116.12817190314274,187,257,37,54,28,1667.82752479873,377.00170441952866,18.783596228457057,12715.490509763156,4970,0.0
Other,13-19,None,Social Sciences,LinkedIn,Other,Educational,92,126.28204085993771,183,250,50,71,27,1042.067244132209,236.52465086382384,93.47947200605282,37780.27342949103,5043,2823.604381515559
Male,<12,None,Arts,LinkedIn,Influencer,Handmade Craft,77,103.17132067834704,204,270,49,56,26,886.8701234107012,196.17020081297647,61.06825282048808,37861.42290578665,5017,2781.6546679606226
Male,27-33,MD,Business,LinkedIn,Influencer,Singing,97,165.26820792720636,191,245,45,66,29,1323.6388858602247,276.0569759038278,89.21581331898143,45263.080968625785,5014,2284.859583401493
Female,46-51,High School,Other,Instagram,Other,Singing,104,108.25106684379418,211,238,45,53,27,1074.974577158494,317.4288614111836,44.35201843907496,472.33156006543504,4967,2479.3427925373235
Other,13-19,Bachelor,Science,LinkedIn,Other,Singing,112,122.24078599779781,198,244,47,62,25,905.2258366768206,226.85509323523047,59.764334666338335,46908.66513738685,4924,1188.2967115956353
Other,<12,PhD,Other,Instagram,Personal,Educational,101,151.0499832638064,205,228,41,55,43,1951.9725233334918,429.665009545505,3.209451219292636,35307.131826576115,4981,1656.63727796517
Female,39-45,PhD,Engineering,LinkedIn,Influencer,Singing,93,128.40126783179878,182,235,54,61,36,2601.5032313858524,126.25922594117696,46.950223227433405,18685.253008097083,5004,1179.3764967104362
Female,20-26,None,Business,TikTok,Non-Profit,Art-Drawing,100,127.65269089312444,195,255,45,60,33,722.6938134249725,340.9258353377487,56.40566733437882,0.0,4961,1844.6559536328205
Other,34-38,MD,Business,Other,Influencer,Other,92,60.7903347181016,216,232,43,54,30,1292.0531253179422,312.626273148706,1.6777714265544974,23906.378277435095,4912,2877.046364487178
Other,39-45,MD,Arts,LinkedIn,Influencer,Singing,118,140.41905005081654,172,264,50,50,34,1587.230694375988,421.8820852273933,78.94891768236403,32802.43191738278,5068,2438.729244045381
Female,51+,PhD,Engineering,Twitter,Other,Handmade Craft,94,121.66760820640471,207,232,56,56,24,639.6974340426369,204.0726477390304,29.54229842766055,7197.754158832689,5006,955.635253431783
Male,<12,Bachelor,Science,LinkedIn,Influencer,Travel,105,136.2469530951765,191,247,55,57,25,1388.6202988909458,370.582901832476,45.248707496077024,17234.975878389076,4944,3832.0517038825237
Male,39-45,High School,Business,LinkedIn,Influencer,Handmade Craft,102,125.4963914510651,213,256,47,67,23,1424.9466452376566,347.71058285851507,53.56302853048245,11048.096158887605,5090,2173.0629490905385
Female,20-26,Bachelor,Business,TikTok,Non-Profit,Travel,109,103.22527328631384,191,262,56,60,37,1739.9804504298238,324.4139770866179,99.21971531284333,23478.54635246784,4955,1325.9474846842131
Male,46-51,High School,Arts,YouTube,Other,Handmade Craft,93,146.82921499648785,181,290,57,70,24,1113.6342920181094,211.34332664920828,9.918414687418286,13675.949107899369,5034,1698.9222748849866
Female,<12,PhD,Social Sciences,TikTok,Influencer,Educational,87,125.94379833839747,206,254,57,51,35,1217.7417651749565,222.68858631164034,55.5279562224498,62553.85075580382,5044,1445.140310339757
Male,39-45,High School,Science,Twitter,Business,Handmade Craft,100,81.31840526871271,201,243,50,56,19,1985.7354011108807,270.3687993478527,53.05941458002693,42955.291041254575,5053,2226.1613501636125
Male,34-38,MD,Other,YouTube,Personal,Educational,94,159.25551469038487,183,236,36,64,33,1709.7118110873039,249.73410193058228,6.890969560318217,13416.47700723376,5018,677.2146567802426
Other,34-38,None,Engineering,Facebook,Non-Profit,Educational,112,77.08561306837584,198,256,51,63,23,1863.986819329106,426.01125467527874,63.39383601951246,15600.920781776418,5118,2294.3437277886874
Other,13-19,None,Business,Facebook,Influencer,Singing,96,147.02787702751627,197,256,45,67,19,622.960724035379,313.55577690399275,28.68544338938106,7786.500553009708,5105,2840.077136780961
Male,39-45,PhD,Business,Twitter,Business,Art-Drawing,107,164.6079531579062,179,242,55,55,21,1165.8358509658701,379.47600584836533,10.37679661646207,27745.062728005072,4969,2659.6748476916655
Male,27-33,MD,Other,TikTok,Influencer,Travel,120,86.8111369211021,188,254,47,56,36,2258.1323511202263,154.88331937008007,17.86419309184527,56627.46315234831,5098,2264.862716038123
Other,39-45,Bachelor,Science,Instagram,Influencer,Singing,99,116.31714639786335,213,239,49,58,25,1458.0298249023658,115.80285433509897,82.36032332153927,47960.284019097846,4948,2575.6440309638933
Other,46-51,MD,Social Sciences,Twitter,Other,Singing,106,113.5215526159747,210,233,46,51,31,1437.137395725498,282.21872151026497,10.412476243739388,32970.40159283098,4999,2392.342816750988
Other,<12,None,Business,Other,Other,Other,86,114.87086534457335,186,235,48,61,27,1458.8734179639584,172.17576974208117,46.69273882403247,25587.27162206165,5041,3046.655272110955
Female,<12,None,Science,YouTube,Other,Educational,107,174.90715065699192,208,253,50,60,38,2284.9971753699774,303.9879265646785,19.527312117922126,38271.625626848254,4973,1760.4840841720359
Male,46-51,MD,Other,YouTube,Business,Educational,91,87.15843381248644,209,242,59,66,33,1126.8939076733236,215.68948992679537,16.231986208501205,34197.24365691111,4928,1086.461054384673
Other,39-45,MD,Arts,LinkedIn,Influencer,Travel,94,110.80298865363005,202,252,43,49,32,1835.731242061401,330.61856321054677,20.571175941707253,36494.26378149491,5011,2365.677566109603
Male,46-51,None,Social Sciences,Facebook,Personal,Handmade Craft,100,165.09967496465254,184,259,59,57,36,1631.9690296937697,221.71622708206317,49.27829345196203,32960.57163661543,5113,3083.7975762442966
Female,20-26,Bachelor,Engineering,YouTube,Non-Profit,Handmade Craft,104,110.31153514982556,223,267,40,63,27,816.8953096994674,356.105300351862,23.77884211115713,36672.16437582743,4997,1609.428594961941
Female,51+,PhD,Business,Twitter,Other,Singing,89,91.92660852400512,194,219,45,50,21,1350.6932602628472,211.90001866691125,9.673295035256036,8690.98233722541,4899,3597.592575597221
Other,46-51,PhD,Science,YouTube,Other,Animation,90,127.89044045309244,172,234,50,63,38,1083.1044684736116,113.56970170380316,80.14008692471685,28195.039308374497,4993,2381.595983260277
Female,34-38,MD,Arts,Twitter,Influencer,Animation,82,144.16921625121046,196,261,49,59,34,863.3763555540233,385.270301312783,53.98214031716857,33502.79935017501,5013,2928.348923511161
Male,46-51,PhD,Engineering,Instagram,Influencer,Handmade Craft,110,108.21477089555108,196,241,54,56,29,2098.2065946552307,223.12716274896763,15.68536523685722,23474.19431925941,5022,838.3011737045877
Other,<12,None,Science,LinkedIn,Business,Animation,99,136.63105172422635,217,255,56,56,22,890.0236577915927,437.2503335513084,47.14298486321701,11283.565275420577,4931,2790.9004765368018
Male,34-38,None,Science,Facebook,Business,Other,78,78.7015471777631,204,238,63,59,35,1874.652113035524,235.84955835248007,6.836249987290987,30078.377717316333,4960,2467.9618576604207
Male,<12,MD,Engineering,YouTube,Other,Handmade Craft,92,80.36918749744217,201,233,44,63,32,1069.1926343102643,217.73410592288755,58.04298636187585,92218.42575500764,4933,4111.950319047388
Female,13-19,MD,Arts,Twitter,Influencer,Educational,106,106.79741159242118,184,239,51,58,27,2178.7067958886,271.59741894788624,34.03048195979815,17653.49985828002,5014,2515.9714791596016
Female,27-33,MD,Other,TikTok,Personal,Singing,87,137.70052259975185,201,240,63,55,27,1290.0935544452661,243.96143452899543,10.352852963016412,27866.099540004503,4988,2653.8451627452487
Female,<12,Bachelor,Arts,Facebook,Non-Profit,Art-Drawing,104,142.8449394295526,208,215,46,55,25,1667.828787438924,312.6168134427003,18.364384986839745,48920.78187124309,4962,1179.925472003385
Female,34-38,PhD,Social Sciences,Instagram,Influencer,Singing,83,84.5395185762581,183,280,59,50,25,1216.8596174097083,340.2592001374829,34.570270485072655,56596.86504854956,5023,2317.372509704399
Female,13-19,MD,Business,Twitter,Influencer,Handmade Craft,97,141.73262114197738,186,247,42,57,27,416.48808094240167,355.42796420387396,80.64074542922428,21250.65596108586,5038,3145.7772572651475
Other,<12,High School,Engineering,Other,Business,Other,99,124.9952112130434,214,250,50,65,28,666.2294666558748,291.4272992130222,17.375569622982333,44469.2297092911,4905,1653.3626361983538
Male,20-26,High School,Other,Other,Non-Profit,Handmade Craft,102,93.62385916646046,215,239,74,64,34,550.9694727094633,149.92385142324954,10.96642214927983,41868.77894509126,4989,1288.1280900021818
Male,46-51,None,Engineering,LinkedIn,Other,Singing,103,79.97434943931005,210,268,65,49,22,1626.9122335670088,472.343948077509,51.59390064656842,22405.08426843085,4966,4008.7913870572293
Male,27-33,PhD,Engineering,LinkedIn,Influencer,Other,92,126.89469464712977,218,256,54,53,33,1485.6688180648937,263.0678917632619,55.86969639802648,39374.384573023664,5014,1722.3679485914624
Male,<12,MD,Arts,Instagram,Other,Other,116,158.6868967249634,206,240,59,73,27,1797.3398835718288,257.8517040309413,9.024131766741716,27403.926751836643,4914,2905.024939787154
Female,13-19,High School,Business,Instagram,Influencer,Other,100,121.06567292333871,209,268,48,52,22,1160.4059764355904,291.1120836281777,28.448447920730203,20598.349988793212,4921,1522.1489141552179
Male,20-26,PhD,Social Sciences,LinkedIn,Other,Travel,78,91.9523745178129,204,248,43,55,27,414.35135056583226,273.8688935241911,26.276403791425405,55785.98254365547,4954,1562.0926275137745
Other,39-45,None,Science,YouTube,Non-Profit,Handmade Craft,114,63.959331387617205,194,258,48,77,33,2150.9597142240086,125.09471367348829,18.62216094611153,39739.9771508226,5067,1877.190158629293
Other,13-19,Bachelor,Science,YouTube,Business,Animation,99,165.88472540665828,197,250,45,53,26,1994.9805273511,357.49651951682915,31.563812720065375,4773.003032382443,5053,2573.04410598968
Male,46-51,PhD,Engineering,Twitter,Non-Profit,Animation,106,151.25551830959287,179,243,45,65,27,1686.9539927323226,217.95785153090833,3.710851153829664,28084.178396739826,5036,3168.132473011734
Male,13-19,PhD,Business,TikTok,Personal,Handmade Craft,110,129.06230546314805,183,237,62,52,33,2055.437302436541,267.61819874751257,65.15497829534785,22207.672275658733,5122,1439.1952121714553
Other,20-26,Bachelor,Other,Twitter,Business,Handmade Craft,98,164.3398190179638,172,293,60,59,42,1449.204419973695,475.93395350618295,98.8487145033841,26840.293990301496,4913,3120.6302607513076
Other,13-19,PhD,Arts,TikTok,Non-Profit,Travel,96,126.71757299260783,194,243,61,54,27,1632.5884766418908,394.44875818473633,63.404676746924885,37739.35243111301,5029,2138.3429213327217
Female,20-26,None,Business,Instagram,Personal,Animation,82,104.0688914814695,239,254,40,62,33,1148.1828154726027,461.2198317408276,36.10764505437862,34401.07965873355,4989,1824.0044558717532
Other,<12,None,Business,Facebook,Influencer,Handmade Craft,113,136.6539673515063,192,274,35,62,39,964.6508586078872,232.2987281362565,66.79103011456769,51511.130968057674,4943,2559.476885434934
Female,51+,Bachelor,Arts,Twitter,Influencer,Handmade Craft,106,95.10822971196626,190,244,52,73,16,711.6593640737367,373.0036013486756,57.151592102357625,48327.75573062006,4955,3429.117713846916
Female,20-26,MD,Engineering,Twitter,Other,Travel,92,90.13056546440458,202,245,52,56,34,1123.6194463109948,340.32625026706796,84.67579305873446,11791.531933120365,5037,2515.548002700741
Female,20-26,High School,Business,TikTok,Business,Travel,109,143.14821328821807,196,267,46,63,23,2830.985644833004,294.5376666275127,62.187456098200045,28525.29326603082,4965,1273.4476846345292
Female,27-33,MD,Science,Instagram,Influencer,Singing,120,145.67276302692247,211,242,44,57,31,739.8633145912388,224.9403137737241,63.407635462124865,798.1792706358829,4950,2146.18734016761
Female,20-26,PhD,Arts,Instagram,Business,Travel,102,81.78785158537772,219,254,64,61,23,1031.169709875734,408.4604361456635,22.16641882729934,15049.693345719972,5049,2562.177526025009
Male,20-26,High School,Other,Other,Influencer,Art-Drawing,121,82.89606952674431,202,242,55,53,27,1556.531014521817,248.58869768563721,41.56272385375932,0.0,5088,1406.7216488460801
Other,39-45,Bachelor,Social Sciences,TikTok,Other,Animation,106,106.64850919100965,193,272,45,60,25,2698.7278548620657,313.62829760539375,34.441606025567715,6480.071652596267,4928,2280.90882643606
Female,51+,Bachelor,Engineering,Instagram,Non-Profit,Singing,91,98.66085500461011,186,263,53,46,30,975.1558738646083,391.31134687879376,1.142518740375098,51001.54595573678,4967,1281.6751127161856
Other,<12,High School,Arts,LinkedIn,Other,Art-Drawing,124,134.29466289496105,206,258,48,49,30,1185.6850329927927,202.3272724018879,31.32807293890614,41290.6277429767,5017,2634.213631087832
Other,46-51,None,Social Sciences,YouTube,Personal,Handmade Craft,114,121.44149513296769,212,270,60,61,33,1835.7524712530576,191.13651941503718,48.606212432295024,39255.89877556619,4972,3464.5643604979646
Female,27-33,High School,Social Sciences,Other,Influencer,Handmade Craft,79,154.94718772909818,201,212,47,80,35,1807.4700908550305,551.6105437206149,59.984863321008106,47630.065694380166,4995,1919.073988315717
Male,39-45,PhD,Other,LinkedIn,Personal,Singing,80,129.5177317570195,197,263,61,65,30,1152.739231100912,213.99387521421545,93.45689467104553,39190.589501096925,5094,2745.402269603216
Female,34-38,None,Business,Facebook,Personal,Travel,85,100.66269510984966,207,231,35,53,39,1083.00925687,461.673536648319,23.91137593598164,28728.396456418257,5094,3024.983886798215
Male,51+,Bachelor,Other,Twitter,Business,Other,84,63.26613414340663,196,273,39,47,33,1723.950267023743,294.6996656297133,15.242899110855834,21159.91112867507,4952,1570.9862883088492
Other,<12,High School,Business,Other,Influencer,Other,87,125.38367952831531,184,236,52,56,16,1348.0926010489525,257.4124626568231,86.94456889989581,55434.729192460814,4965,2423.3170663071546
Male,<12,MD,Business,Facebook,Personal,Handmade Craft,110,68.69015669291167,206,255,35,62,27,1643.746180114408,267.3351840858265,94.18474940884477,49595.78348130039,4970,3138.4861465428585
Male,34-38,MD,Arts,Twitter,Non-Profit,Other,115,100.29134289237491,195,255,51,55,31,1415.328599479151,293.77830978644,48.79542485810844,26708.0661296867,4985,3636.82960114411
Male,46-51,PhD,Arts,YouTube,Personal,Educational,92,98.34819665709973,211,275,61,58,32,1675.6652872138006,433.791309257639,11.521656125005197,41457.94725971303,5021,1721.7074748422372
Other,20-26,MD,Engineering,Instagram,Non-Profit,Singing,95,104.74718655349706,198,236,52,69,31,1727.4076496932394,375.61007371873285,48.53882992769712,0.0,5071,872.92206245385
Other,39-45,High School,Business,LinkedIn,Business,Art-Drawing,109,80.51897220219428,195,238,46,48,27,526.11244573767,278.8385788382723,10.944332710326876,42213.48921860708,5083,2583.6341442633875
Male,13-19,High School,Social Sciences,TikTok,Personal,Singing,106,98.2417017567015,216,267,46,62,21,1268.4910989580208,113.41711209158765,88.31855787006627,22488.160503046478,5029,2228.8250976278473
Male,27-33,MD,Science,LinkedIn,Other,Animation,108,154.37713735355402,200,246,51,63,31,1666.848773917321,302.0617985172411,70.815010461625,70687.28920042963,5029,2030.3475247160236
Female,13-19,High School,Engineering,YouTube,Business,Travel,88,154.294454627248,206,228,44,63,35,1905.289345160451,313.28359428754925,24.113701771000397,47259.34303010619,5072,1480.6566264142748
Male,34-38,PhD,Arts,Facebook,Non-Profit,Travel,90,165.97499326397912,202,261,41,54,35,1334.009815100355,425.8516867509617,88.66906933167867,409.74113927511644,5019,2884.1504918823457
Female,<12,None,Other,TikTok,Business,Singing,112,120.30439577231323,213,240,52,80,25,577.7249643642987,152.9873757148013,63.79017290493193,19330.50155175451,5056,1411.3579876981437
Male,46-51,PhD,Engineering,Instagram,Personal,Handmade Craft,106,128.1365738669474,202,249,57,58,33,2124.5579127071733,250.64863709570403,95.32633367208685,30908.709357586464,4941,1324.6947856749107
Female,<12,PhD,Engineering,YouTube,Influencer,Handmade Craft,113,154.81834253080973,164,261,52,55,38,1927.8257404225367,247.49306776858668,98.0479849010547,29363.42014492949,4976,1867.708796850759
Other,27-33,High School,Engineering,TikTok,Influencer,Educational,98,75.88017129188648,208,217,59,51,29,1552.7328441202226,294.4121245510616,0.3281789235718091,28685.9140679934,4928,2928.8822014772845
Male,<12,None,Engineering,YouTube,Non-Profit,Educational,105,144.16885520111103,202,268,51,51,34,1267.7436171680954,309.10439706986017,12.021420902754576,44770.975926841784,5023,643.6006437486678
Male,<12,High School,Science,YouTube,Non-Profit,Travel,87,159.07034170186967,196,258,51,39,35,1800.156895788854,343.84093855392615,54.69223308068357,21888.33393535576,4845,985.1623738109519
Male,27-33,Bachelor,Other,Instagram,Influencer,Educational,102,93.33119021887128,180,256,54,65,31,1272.524273701263,110.51407474952396,95.58528744672915,28915.030799946602,4851,1180.419393586053
Male,39-45,High School,Other,Other,Non-Profit,Art-Drawing,87,161.4791743681098,226,270,44,67,22,1938.0049751958193,317.29778135199103,99.42336355096955,52891.0814944751,4917,3983.2418142218985
Female,39-45,High School,Other,Twitter,Business,Educational,101,181.7314824090475,207,259,39,72,21,2398.3778206670386,324.5650127114334,56.74079353035199,53133.291347196195,4845,2282.5313470944957
Male,27-33,High School,Business,TikTok,Other,Art-Drawing,106,143.33540011532486,177,260,50,65,36,1256.1850909928642,307.51512262080195,17.38014889452303,44666.07353352236,4903,957.2082895707229
Other,46-51,None,Social Sciences,Instagram,Other,Educational,95,137.8351310598037,205,231,43,57,35,1890.220799066776,282.2383792226649,16.305002000870616,24754.093484622696,5112,1869.0493436243478
Other,34-38,High School,Other,YouTube,Business,Travel,89,86.40671852612223,191,220,46,57,27,1172.427012591228,0.0,76.38577581141384,19390.125545877127,4959,2773.17168497832
Male,51+,None,Engineering,Instagram,Other,Travel,93,152.07611787122772,213,238,45,61,30,2013.6781397754687,356.8144572673465,59.19376787062978,29380.592080432885,4891,3999.9508143787393
Other,<12,MD,Engineering,Other,Personal,Art-Drawing,91,89.23228042088661,201,278,51,75,38,1376.7371139978973,202.67948942194062,54.877389893276295,30426.776039628396,4883,461.63231470153096
Male,46-51,Bachelor,Other,Twitter,Business,Singing,111,131.0922240792109,219,250,55,62,35,2223.9146660854917,361.371049292461,46.576492330051636,29470.072808533463,5052,925.3389406275833
Male,<12,None,Other,LinkedIn,Non-Profit,Travel,108,134.13285321993072,214,232,46,53,27,1361.1665796816108,425.0144816780119,72.51346265816817,38344.433605494705,4985,1661.6765318961927
Other,51+,MD,Engineering,TikTok,Business,Singing,122,21.112409640524106,181,269,44,63,37,1051.1419002508787,132.38968460874244,85.80541790063455,35409.99472394987,4953,1696.9277672841679
Male,34-38,None,Business,Twitter,Influencer,Handmade Craft,100,132.17410150607253,191,260,50,56,45,1332.825967108232,358.32592609665295,30.295808119563628,34783.6093768078,4932,1680.876472909711
Other,39-45,None,Arts,Facebook,Non-Profit,Art-Drawing,101,198.64424359435463,202,250,45,63,27,1388.4692807519327,176.44299866907414,22.091776717589063,22998.83995920341,4941,1887.7503507905012
Female,46-51,Bachelor,Arts,TikTok,Influencer,Other,109,57.24430733188586,201,247,55,72,46,1618.1733514878313,295.7602591700307,67.01991663149424,12015.942291505595,4996,4028.71383351689
Male,20-26,PhD,Other,Twitter,Non-Profit,Travel,96,118.38324017960596,203,254,63,50,23,1335.5644900246484,287.4054834116736,91.47324240549534,40419.6317722298,4977,734.2732015900247
Female,20-26,PhD,Science,YouTube,Other,Animation,97,61.58653869796142,182,246,52,55,40,1622.7432789094235,375.6418050670404,34.81574401440862,30910.3665469982,5011,2159.8229921087895
Other,51+,None,Other,TikTok,Business,Handmade Craft,110,93.17575683584468,197,241,52,60,32,1631.5607010706033,360.79211510966445,27.244821917741536,36132.155611944545,5051,2560.9755172111622
Female,20-26,High School,Other,TikTok,Personal,Singing,94,62.106694355390886,207,243,60,62,28,1286.2810091830695,326.211628876984,22.61146302356195,36550.83502327007,4891,548.3499482660216
Female,39-45,MD,Arts,Instagram,Non-Profit,Travel,105,124.78626980991653,201,234,54,61,29,1664.2020798202107,135.6642179168614,25.449090769663087,0.0,4965,3434.205685654341
Other,51+,High School,Engineering,YouTube,Non-Profit,Art-Drawing,81,143.80814409778785,192,281,51,65,33,1206.879368865154,48.51880371777639,13.493334296031446,55822.66748493597,5000,1843.1790237180605
Female,39-45,High School,Other,Facebook,Influencer,Other,91,132.29215898307277,191,253,45,55,27,2499.90703350711,391.2282315062703,59.677822760835355,21523.463845527265,4960,916.3019529630083
Female,34-38,None,Engineering,LinkedIn,Other,Educational,113,92.09452591627283,229,230,50,61,22,1649.5616946681707,374.6468293886114,28.08260686612557,50609.168553317606,5002,3546.767897627231
Other,<12,None,Engineering,Other,Influencer,Other,106,101.71815730212217,191,253,49,61,26,1806.1624370994448,200.25196557609755,61.494436165790454,36369.84380028818,5103,2681.278901325438
Female,34-38,None,Science,Twitter,Influencer,Animation,108,128.16818058256916,230,247,49,62,30,1402.3280978351868,334.73457226196433,8.30323495125681,13821.437129521913,4956,1457.3434308193928
Other,34-38,None,Engineering,Instagram,Other,Singing,113,93.03228029583238,210,239,57,64,28,1139.701894400285,279.0728164135278,11.545679211787906,19385.421438235742,5036,2725.0040837418096
Female,39-45,PhD,Arts,Twitter,Personal,Handmade Craft,98,80.13614674453075,185,272,48,69,25,1918.000195778056,408.64916776796775,53.614192779694456,19663.15926806067,4990,2387.7092063609834
Other,51+,None,Business,Facebook,Influencer,Other,107,112.82618819694116,194,270,48,65,25,1664.9431620598962,308.35849562167937,51.1530944476014,20525.850088101237,4967,463.52879645456846
Other,51+,PhD,Business,Facebook,Influencer,Art-Drawing,93,91.65875372182776,190,241,56,61,33,193.36573041499105,390.03902332592065,27.150992673788863,3459.6634379504394,5002,561.2500969697307
Female,20-26,PhD,Social Sciences,TikTok,Non-Profit,Animation,84,132.34673751760928,179,243,50,64,30,2462.824337937028,238.6434388052126,82.71308516205424,18023.07125577238,4945,2336.7438269329764
Female,13-19,None,Other,Other,Other,Art-Drawing,90,158.96092200950753,216,254,46,59,30,1868.9125617266266,328.5023518649677,18.704716486754947,44510.727614961856,4961,228.5403738601217
Female,<12,Bachelor,Arts,Facebook,Business,Travel,109,197.92750208117286,201,255,44,74,29,1309.4687045833862,258.7322177883146,36.06611241831861,46046.334018237685,4947,3005.4361815078055
Male,39-45,MD,Engineering,Twitter,Personal,Educational,89,130.1420073641895,227,256,61,56,28,1802.8162125523509,238.1542473148288,55.551170607240216,19856.132149370656,4989,619.1317883083448
Male,20-26,High School,Business,YouTube,Personal,Handmade Craft,98,139.37916488458612,211,261,48,68,36,1710.821954108022,67.0130056938496,86.72111025153646,1906.9815774902745,5147,2920.6541087078167
Male,46-51,PhD,Arts,YouTube,Other,Art-Drawing,112,102.02047970117617,211,248,50,72,31,1747.6419081881868,392.34803567323723,41.85509751667767,39463.77652214599,4949,3423.5315286551513
Other,13-19,MD,Business,TikTok,Non-Profit,Singing,85,103.87869677335365,210,268,44,65,36,1064.7345670796776,474.96936133772965,39.860095544090434,13818.928914172306,4993,2489.658438589569
Female,13-19,Bachelor,Engineering,LinkedIn,Non-Profit,Travel,101,158.52168739622817,217,269,53,61,36,1535.5778044402355,161.200505962259,57.953742803179466,14989.597285264066,5078,0.0
Other,39-45,High School,Business,Twitter,Other,Travel,97,111.71016599559667,164,249,63,53,28,1651.0364473862016,369.35954081299576,31.669541546289626,25757.491253904533,5074,3120.3230601972245
Male,27-33,High School,Other,Twitter,Non-Profit,Handmade Craft,102,122.18842135817347,160,268,44,63,26,2115.954757782221,365.19190952741644,70.91732531595895,24352.96697836789,5057,1563.4460019784299
Female,<12,PhD,Other,Facebook,Personal,Travel,93,156.68927010385005,204,265,41,49,38,1551.3029911888516,248.54014570684208,24.869594066700472,18153.69139878375,4958,1942.4090081011586
Other,13-19,None,Social Sciences,Other,Personal,Singing,107,111.94118484340231,181,267,41,55,31,1715.5966896989892,226.25148899051632,82.31959969402122,19509.048420269115,4984,1256.705669300629
Female,39-45,Bachelor,Social Sciences,Twitter,Business,Art-Drawing,101,165.01261313064447,223,224,41,58,33,1044.8631387559774,418.0504575455278,27.23534131334612,22470.904432134732,4917,3682.118745380162
Other,39-45,PhD,Business,Instagram,Other,Handmade Craft,98,137.19088008154216,201,254,56,58,23,1533.6409965291634,407.5110824588771,99.27011622905123,19290.184293038976,5049,2177.4209215713013
Female,20-26,Bachelor,Arts,LinkedIn,Influencer,Travel,98,133.66194512934644,201,240,53,59,26,1933.5357915733705,345.14899133124555,31.646247432764262,20233.696221800565,4917,1593.880001500687
Male,46-51,None,Other,Facebook,Influencer,Travel,118,100.55432558797969,181,263,49,50,21,1157.9091364826777,248.00305084704937,87.88261386551977,25414.05067019559,4974,3339.425069299561
Male,27-33,None,Arts,Instagram,Business,Singing,104,135.27377985150315,194,247,41,51,39,1305.9535748594185,408.94554122707825,39.735595410605725,35300.359716844505,4886,2879.5168482345707
Female,<12,PhD,Arts,TikTok,Business,Educational,98,107.1286215640126,213,223,52,74,26,1018.0416671970518,216.34150061288543,24.60548420309303,33735.79095511034,4972,867.5782504746719
Other,51+,None,Business,YouTube,Non-Profit,Educational,94,134.08226568587114,200,254,56,51,34,822.2917771542621,442.06371277798837,22.616325046035524,21867.441704602752,5198,2334.025229891757
Male,34-38,MD,Arts,TikTok,Business,Other,89,116.94524802718713,209,244,37,44,35,1069.626338399253,463.22072224592284,85.01912818498782,25249.5999941359,5047,2220.297052195394
Male,46-51,High School,Other,YouTube,Business,Travel,103,149.00428712952356,188,242,50,67,28,1781.161064818822,418.1480065583988,30.875298631287674,50165.2362513885,5038,527.9201064904362
Male,46-51,PhD,Engineering,TikTok,Influencer,Art-Drawing,115,119.04686481609734,205,256,41,63,38,1376.9452023661618,334.2808172353285,33.8563008959747,44799.50655114383,4827,2827.1002185708735
Female,20-26,Bachelor,Social Sciences,Twitter,Non-Profit,Handmade Craft,98,181.1357265071009,196,247,45,51,37,1071.2852423201016,45.260766329254096,19.699305583894056,38223.27128288318,5124,1970.9608441420114
Female,51+,MD,Engineering,Instagram,Business,Travel,100,111.73359064812823,202,274,50,68,31,2589.5459214264733,281.5219234314519,96.13247181162168,3430.0224291391896,4989,4151.138257235085
Other,13-19,PhD,Arts,YouTube,Business,Animation,93,103.9627571392947,196,228,54,53,26,1149.1119267464373,476.4880032170661,24.47439405988301,31605.757947799928,5066,3409.7671413745697
Other,13-19,None,Engineering,Facebook,Non-Profit,Handmade Craft,92,130.38341360403763,221,252,51,67,31,1812.2872508331855,393.705646759461,24.744361898161205,19867.91482126514,4867,2222.1062838041703
Other,20-26,None,Other,Instagram,Other,Other,100,152.3361316748242,203,246,45,55,34,1666.4862335408143,343.5314040180052,94.38978902546958,15652.330318255492,5058,1912.6018546711741
Female,39-45,None,Other,Facebook,Non-Profit,Educational,93,152.1029545448182,228,245,45,53,37,1624.089777310344,231.91550436407232,90.08988549951829,24604.674957002026,5052,0.0
Female,13-19,None,Arts,Instagram,Influencer,Travel,85,125.00344333207492,201,239,40,62,32,584.5614034389043,402.44058992683927,24.891088317991017,45706.1259265345,5087,2842.3390063444203
Other,27-33,Bachelor,Business,Instagram,Other,Singing,100,130.17267482414354,207,251,44,54,30,2135.076030873849,142.7032415094558,86.47255695179894,43324.16537482957,4943,1931.6171062859842
